partner_name,model_name,year,car_cnt,car_sticker_cnt
partner_4942,model_499,year_8,1,0
partner_4942,model_89,year_23,1,0
partner_4942,model_436,year_29,1,0
partner_4942,model_370,year_24,1,0
partner_4942,model_576,year_26,1,0
partner_4942,model_20,year_25,1,0
partner_4942,model_589,year_31,1,0
partner_4942,model_410,year_29,1,0
partner_4942,model_398,year_27,1,0
partner_4942,model_398,year_29,1,0
partner_4942,model_549,year_24,1,0
partner_4942,model_600,year_28,1,0
partner_4942,model_220,year_11,1,0
partner_7359,model_196,year_29,1,0
partner_7359,model_196,year_31,1,0
partner_7359,model_615,year_29,1,0
partner_7359,model_370,year_23,1,0
partner_7359,model_384,year_31,2,1
partner_7359,model_384,year_32,3,2
partner_7359,model_576,year_22,1,0
partner_7359,model_416,year_0,1,0
partner_7359,model_416,year_30,1,0
partner_7359,model_250,year_24,1,0
partner_7359,model_494,year_30,1,1
partner_7359,model_364,year_24,1,0
partner_7359,model_589,year_31,2,1
partner_7359,model_589,year_33,1,1
partner_7359,model_589,year_36,1,0
partner_7359,model_398,year_25,1,0
partner_7359,model_398,year_31,1,0
partner_7359,model_71,year_26,1,0
partner_7359,model_549,year_23,1,0
partner_7359,model_549,year_24,1,0
partner_7359,model_549,year_27,1,0
partner_7359,model_330,year_27,1,0
partner_3621,model_384,year_32,1,0
partner_3848,model_549,year_28,1,1
partner_3848,model_549,year_29,1,1
partner_3423,model_361,year_28,1,0
partner_2380,model_589,year_31,1,0
partner_8897,model_540,year_26,1,0
partner_4328,model_147,year_31,1,1
partner_6264,model_487,year_29,1,0
partner_7062,model_416,year_32,1,0
partner_7667,model_7,year_36,2,2
partner_1691,model_485,year_29,1,1
partner_1691,model_384,year_36,1,1
partner_1691,model_172,year_27,1,0
partner_1691,model_416,year_30,1,0
partner_1691,model_381,year_25,1,0
partner_1691,model_483,year_13,1,0
partner_1691,model_380,year_25,1,0
partner_1691,model_549,year_29,1,1
partner_1691,model_549,year_31,1,1
partner_1691,model_600,year_30,1,0
partner_1691,model_600,year_31,1,1
partner_1691,model_256,year_18,1,1
partner_1691,model_516,year_17,1,0
partner_1691,model_161,year_26,1,0
